"path_specification","n","p","dimension","correlation","scheme","metric","replications","original_mean","original_sd","original_se","original_ci_lower","original_ci_upper","sparsified_mean","sparsified_sd","sparsified_se","sparsified_ci_lower","sparsified_ci_upper","paired_difference_mean","paired_difference_sd","paired_difference_se","paired_difference_ci_lower","paired_difference_ci_upper"
"primary_controlled",100,20,"n=100, p=20","independent","quantile_2","A_entry",100,0.996970269125406,0.0026723583364932,0.00026723583364932,0.996446486891453,0.997494051359358,0.997854161736096,0.00244656508126399,0.000244656508126399,0.997374634980168,0.998333688492024,0.000883892610690311,0.00348946509200021,0.000348946509200021,0.00019995745265827,0.00156782776872235
"primary_controlled",100,20,"n=100, p=20","independent","quantile_2","A_set_s",100,0.998888888888889,0.0111111111111111,0.00111111111111111,0.996711111111111,1.00106666666667,0.998888888888889,0.0111111111111111,0.00111111111111111,0.996711111111111,1.00106666666667,0,0.0157926456559711,0.00157926456559711,-0.00309535854857034,0.00309535854857034
"primary_controlled",100,20,"n=100, p=20","independent","quantile_2","A_set_2s",100,0.993333333333333,0.0190585477415285,0.00190585477415285,0.989597857975994,0.997068808690673,0.996363636363636,0.0144656519136935,0.00144656519136935,0.993528368588552,0.99919890413872,0.00303030303030303,0.0217497140171295,0.00217497140171295,-0.00123264091705435,0.00729324697766042
"primary_controlled",100,20,"n=100, p=20","independent","quantile_2","F1",100,0.98769696969697,0.0477558836802228,0.00477558836802228,0.978336816495646,0.997057122898293,0.96769696969697,0.0736199424679674,0.00736199424679674,0.953267460973248,0.982126478420691,-0.02,0.066805654155788,0.0066805654155788,-0.0330939082145344,-0.00690609178546554
"primary_controlled",100,20,"n=100, p=20","independent","quantile_2","RMSE",100,1.68971215633222,0.271432180320484,0.0271432180320484,1.6365114489894,1.74291286367503,1.98275481243946,0.332389984267244,0.0332389984267244,1.91760637552308,2.04790324935584,0.293042656107239,0.165209274370368,0.0165209274370368,0.260661638330646,0.325423673883831
"primary_controlled",100,20,"n=100, p=20","independent","quantile_4","A_entry",100,0.996970269125406,0.0026723583364932,0.00026723583364932,0.996446486891453,0.997494051359358,0.997218039011623,0.00299083454868137,0.000299083454868137,0.996631835440081,0.997804242583164,0.000247769886217235,0.00397703374401856,0.000397703374401856,-0.000531728727610402,0.00102726850004487
"primary_controlled",100,20,"n=100, p=20","independent","quantile_4","A_set_s",100,0.998888888888889,0.0111111111111111,0.00111111111111111,0.996711111111111,1.00106666666667,0.996666666666667,0.0190496231108628,0.00190496231108628,0.992932940536938,1.0004003927964,-0.00222222222222222,0.0222222222222222,0.00222222222222222,-0.00657777777777777,0.00213333333333333
"primary_controlled",100,20,"n=100, p=20","independent","quantile_4","A_set_2s",100,0.993333333333333,0.0190585477415285,0.00190585477415285,0.989597857975994,0.997068808690673,0.99,0.0261002491263077,0.00261002491263077,0.984884351171244,0.995115648828756,-0.00333333333333333,0.0321048831059249,0.00321048831059249,-0.0096258904220946,0.00295922375542794
"primary_controlled",100,20,"n=100, p=20","independent","quantile_4","F1",100,0.98769696969697,0.0477558836802228,0.00477558836802228,0.978336816495646,0.997057122898293,0.889878787878788,0.107997290148377,0.0107997290148377,0.868711319009706,0.91104625674787,-0.0978181818181817,0.108213387270325,0.0108213387270325,-0.119028005723165,-0.076608357913198
"primary_controlled",100,20,"n=100, p=20","independent","quantile_4","RMSE",100,1.68971215633222,0.271432180320484,0.0271432180320484,1.6365114489894,1.74291286367503,2.14255155505078,0.3350863410847,0.03350863410847,2.07687463219818,2.20822847790338,0.452839398718561,0.165897560589627,0.0165897560589627,0.420323476842995,0.485355320594128
"primary_controlled",100,20,"n=100, p=20","independent","quantile_8","A_entry",100,0.996970269125406,0.0026723583364932,0.00026723583364932,0.996446486891453,0.997494051359358,0.99542237317061,0.0045330369815619,0.00045330369815619,0.994533897922224,0.996310848418996,-0.00154789595479542,0.00494934301135442,0.000494934301135442,-0.00251796718502089,-0.000577824724569955
"primary_controlled",100,20,"n=100, p=20","independent","quantile_8","A_set_s",100,0.998888888888889,0.0111111111111111,0.00111111111111111,0.996711111111111,1.00106666666667,0.985873015873016,0.0391998866497174,0.00391998866497173,0.978189838089671,0.99355619365636,-0.013015873015873,0.0411314758494625,0.00411314758494625,-0.0210776422823677,-0.00495410374937836
"primary_controlled",100,20,"n=100, p=20","independent","quantile_8","A_set_2s",100,0.993333333333333,0.0190585477415285,0.00190585477415285,0.989597857975994,0.997068808690673,0.990909090909091,0.0233934604276529,0.00233934604276529,0.986323972665271,0.995494209152911,-0.00242424242424243,0.0309631198026925,0.00309631198026925,-0.00849301390557016,0.00364452905708531
"primary_controlled",100,20,"n=100, p=20","independent","quantile_8","F1",100,0.98769696969697,0.0477558836802228,0.00477558836802228,0.978336816495646,0.997057122898293,0.757383838383838,0.153127138644417,0.0153127138644417,0.727370919209533,0.787396757558144,-0.230313131313131,0.154035193376572,0.0154035193376572,-0.260504029214939,-0.200122233411323
"primary_controlled",100,20,"n=100, p=20","independent","quantile_8","RMSE",100,1.68971215633222,0.271432180320484,0.0271432180320484,1.6365114489894,1.74291286367503,2.41222479349587,0.370734400636308,0.0370734400636308,2.33956085097115,2.48488873602059,0.722512637163652,0.201692736348936,0.0201692736348936,0.682980860839261,0.762044413488044
"primary_controlled",100,20,"n=100, p=20","independent","equal_width_4","A_entry",100,0.996970269125406,0.0026723583364932,0.00026723583364932,0.996446486891453,0.997494051359358,0.996867745142065,0.00376575015093641,0.000376575015093641,0.996129658112482,0.997605832171649,-0.000102523983340371,0.00450872621705583,0.000450872621705583,-0.000986234321883315,0.000781186355202572
"primary_controlled",100,20,"n=100, p=20","independent","equal_width_4","A_set_s",100,0.998888888888889,0.0111111111111111,0.00111111111111111,0.996711111111111,1.00106666666667,0.994444444444444,0.0243381015063989,0.00243381015063989,0.98967417654919,0.999214712339699,-0.00444444444444444,0.026986484726618,0.0026986484726618,-0.00973379545086157,0.000844906561972687
"primary_controlled",100,20,"n=100, p=20","independent","equal_width_4","A_set_2s",100,0.993333333333333,0.0190585477415285,0.00190585477415285,0.989597857975994,0.997068808690673,0.993434343434343,0.0221197235453552,0.00221197235453552,0.989098877619454,0.997769809249233,0.000101010101010104,0.0294403266258789,0.00294403266258789,-0.00566929391766216,0.00587131411968237
"primary_controlled",100,20,"n=100, p=20","independent","equal_width_4","F1",100,0.98769696969697,0.0477558836802228,0.00477558836802228,0.978336816495646,0.997057122898293,0.826848484848485,0.127836305226084,0.0127836305226084,0.801792569024173,0.851904400672797,-0.160848484848485,0.124624212755883,0.0124624212755883,-0.185274830548638,-0.136422139148332
"primary_controlled",100,20,"n=100, p=20","independent","equal_width_4","RMSE",100,1.68971215633222,0.271432180320484,0.0271432180320484,1.6365114489894,1.74291286367503,2.29449630579646,0.34223761359232,0.034223761359232,2.22741773353236,2.36157487806055,0.604784149464241,0.170068183412456,0.0170068183412456,0.5714507855154,0.638117513413082
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","A_entry",100,0.995343532979227,0.00861488652569396,0.000861488652569396,0.993655015220191,0.997032050738263,0.997011361050253,0.00539664771175796,0.000539664771175796,0.995953618098748,0.998069104001757,0.0016678280710261,0.00753403958117736,0.000753403958117736,0.000191156313115336,0.00314449982893686
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","A_set_s",100,0.996666666666667,0.0190496231108628,0.00190496231108628,0.992932940536938,1.0004003927964,0.996666666666667,0.0190496231108628,0.00190496231108628,0.992932940536938,1.0004003927964,0,0.0273536646620739,0.00273536646620739,-0.00536131827376649,0.00536131827376649
"primary_controlled",100,20,"n=100, p=20","ar1_rho_0.5","quantile_2","A_set_2s",100,0.992727272727273,0.0262414267761128,0.00262414267761128,0.987583953079155,0.997870592375391,0.988484848484849,0.031878250177898,0.0031878250177898,0.98223671144998,0.994732985519717,-0.00424242424242424,0.0387685519649357,0.00387685519649357,-0.0118410604275516,0.00335621194270316
