"path_specification","scenario_id","representation","scheme","method","group_weight_specification","df_definition","replications","target_reached_s_mean","target_exact_s_mean","target_reached_2s_mean","target_exact_2s_mean","selected_parent_count_s_mean","selected_component_count_s_mean","selected_parent_count_2s_mean","selected_component_count_2s_mean"
"sensitivity_dense_wide",1,"sparsified","quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",2,1,1,1,1,5,10,10,20
"sensitivity_dense_wide",1,"sparsified","quantile_2","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",2,1,1,1,1,5,10,10,20
"sensitivity_dense_wide",1,"sparsified","quantile_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",2,1,1,1,1,5,8.5,10,16.5
"sensitivity_dense_wide",1,"sparsified","quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",2,1,1,1,1,5,20,10,40
"sensitivity_dense_wide",1,"sparsified","quantile_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",2,1,1,1,1,5,20,10,40
"sensitivity_dense_wide",1,"sparsified","quantile_8","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",2,1,1,1,1,5,6,10,16.5
"sensitivity_dense_wide",1,"sparsified","quantile_8","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",2,1,1,1,1,5,40,10,80
"sensitivity_dense_wide",1,"sparsified","quantile_8","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",2,1,1,1,1,5,40,10,80
"sensitivity_dense_wide",11,"original","original","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",2,1,1,1,0.5,20,20,41,41
"sensitivity_dense_wide",11,"original","original","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",2,1,1,1,0.5,20,20,41,41
"sensitivity_dense_wide",11,"original","original","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",2,1,1,1,0.5,20,20,41,41
"sensitivity_dense_wide",11,"sparsified","equal_width_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",2,1,1,1,0.5,20,21.5,40.5,45
"sensitivity_dense_wide",11,"sparsified","equal_width_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",2,1,1,1,0.5,20,80,40.5,162
"sensitivity_dense_wide",11,"sparsified","equal_width_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",2,1,1,1,1,20,80,40,160
"sensitivity_dense_wide",11,"sparsified","quantile_2","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",2,1,1,1,1,20,21,40,45.5
"sensitivity_dense_wide",11,"sparsified","quantile_2","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",2,1,1,1,0.5,20,40,40.5,81
"sensitivity_dense_wide",11,"sparsified","quantile_2","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",2,1,1,1,0.5,20,40,40.5,81
"sensitivity_dense_wide",11,"sparsified","quantile_4","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",2,1,1,1,1,20,22.5,40,46
"sensitivity_dense_wide",11,"sparsified","quantile_4","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",2,1,0,1,0.5,21,84,40.5,162
"sensitivity_dense_wide",11,"sparsified","quantile_4","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",2,1,0.5,1,1,20.5,82,40,160
"sensitivity_dense_wide",11,"sparsified","quantile_8","component_lasso_glmnet","not_applicable","active_coefficient_count_proxy_excluding_intercept",2,1,1,1,1,20,23.5,40,46
"sensitivity_dense_wide",11,"sparsified","quantile_8","parent_group_lasso_grpreg","equal_parent","grpreg_approximate_df_excluding_intercept",2,1,1,1,1,20,160,40,320
"sensitivity_dense_wide",11,"sparsified","quantile_8","parent_group_lasso_grpreg","sqrt_group_size","grpreg_approximate_df_excluding_intercept",2,1,1,1,1,20,160,40,320
